"beta_hat","beta","gamma","sigma","distribution","g","r"
-0.197472650198703,0.05,0.5,0.5,"normal",30,60
-0.0114253332728866,0.05,0.5,0.5,"normal",30,60
0.0812769255552156,0.05,0.5,0.5,"normal",30,60
-0.0900249342745481,0.05,0.5,0.5,"normal",30,60
0.119274507317331,0.05,0.5,0.5,"normal",30,60
-0.0609857906535555,0.05,0.5,0.5,"normal",30,60
0.0157725225406868,0.05,0.5,0.5,"normal",30,60
0.0613333696795478,0.05,0.5,0.5,"normal",30,60
0.0114623103326732,0.05,0.5,0.5,"normal",30,60
-0.0247920700139695,0.05,0.5,0.5,"normal",30,60
0.230125070999524,0.05,0.5,0.5,"normal",30,60
0.14351798748666,0.05,0.5,0.5,"normal",30,60
-0.191238105566552,0.05,0.5,0.5,"normal",32,56
0.0827021031702856,0.05,0.5,0.5,"normal",32,56
0.340143542163257,0.05,0.5,0.5,"normal",32,56
0.0477528851254319,0.05,0.5,0.5,"normal",32,56
-0.175718326328669,0.05,0.5,0.5,"normal",32,56
0.0191242901633237,0.05,0.5,0.5,"normal",32,56
0.244848986534401,0.05,0.5,0.5,"normal",32,56
0.107998458359155,0.05,0.5,0.5,"normal",32,56
0.172464530571332,0.05,0.5,0.5,"normal",32,56
0.241419858950964,0.05,0.5,0.5,"normal",32,56
-0.363319963655985,0.05,0.5,0.5,"normal",32,56
-0.0414917639247092,0.05,0.5,0.5,"normal",32,56
-0.038015601222916,0.05,0.5,0.5,"normal",32,56
0.235777404825515,0.05,0.5,0.5,"normal",32,56
-0.0234772619615933,0.05,0.5,0.5,"normal",32,56
0.387166172498757,0.05,0.5,0.5,"normal",32,56
0.181876310270173,0.05,0.5,0.5,"normal",32,56
-0.11250664823688,0.05,0.5,0.5,"normal",32,56
0.0915380067609622,0.05,0.5,0.5,"normal",32,56
0.290063555290236,0.05,0.5,0.5,"normal",32,56
0.077113775079418,0.05,0.5,0.5,"normal",32,56
0.320166338088496,0.05,0.5,0.5,"normal",32,56
0.326779568504582,0.05,0.5,0.5,"normal",32,56
0.0835913459736994,0.05,0.5,0.5,"normal",32,56
0.169173917910935,0.05,0.5,0.5,"normal",32,56
-0.021698808898028,0.05,0.5,0.5,"normal",32,56
-0.136555789921434,0.05,0.5,0.5,"normal",32,56
0.188565683201024,0.05,0.5,0.5,"normal",32,56
0.013269790744449,0.05,0.5,0.5,"normal",32,56
0.0696377571250167,0.05,0.5,0.5,"normal",32,56
-0.0575170747282513,0.05,0.5,0.5,"normal",34,52
-0.0781579343109664,0.05,0.5,0.5,"normal",34,52
-0.101482266726436,0.05,0.5,0.5,"normal",34,52
0.0338252688471906,0.05,0.5,0.5,"normal",34,52
0.307864548736311,0.05,0.5,0.5,"normal",34,52
0.0113120620228033,0.05,0.5,0.5,"normal",34,52
0.139621207571841,0.05,0.5,0.5,"normal",34,52
0.267583701044719,0.05,0.5,0.5,"normal",34,52
0.0172268474313162,0.05,0.5,0.5,"normal",34,52
0.0337123583037498,0.05,0.5,0.5,"normal",34,52
0.274219372185229,0.05,0.5,0.5,"normal",34,52
0.1020179609449,0.05,0.5,0.5,"normal",34,52
0.175734507083563,0.05,0.5,0.5,"normal",34,52
0.184113365739507,0.05,0.5,0.5,"normal",34,52
0.0111175375848739,0.05,0.5,0.5,"normal",34,52
-0.0447024451039351,0.05,0.5,0.5,"normal",34,52
-0.279816840689084,0.05,0.5,0.5,"normal",34,52
-0.146237402031153,0.05,0.5,0.5,"normal",34,52
0.319849100388807,0.05,0.5,0.5,"normal",34,52
-0.262094764430951,0.05,0.5,0.5,"normal",34,52
0.0305780350795479,0.05,0.5,0.5,"normal",34,52
0.321177569379702,0.05,0.5,0.5,"normal",34,52
-0.026551145129641,0.05,0.5,0.5,"normal",34,52
